pangkat,pend_terakhir,thn_pengangkatan,usia_asn,masa_kerja
IV/b,S1,1988,54,35
IV/b,S1,1994,56,29
IV/b,S1,1988,57,35
IV/b,S1,1989,58,34
IV/b,S2,1998,55,25
IV/b,S2,1994,53,29
IV/b,S1,1993,56,30
IV/b,S1,1990,59,33
IV/b,S1,2007,53,16
IV/b,S1,1988,58,35
IV/b,S1,1997,53,26
IV/b,S1,2006,48,17
IV/b,S2,1992,58,31
IV/b,S1,1988,58,35
IV/b,S2,1999,55,24
IV/b,S1,1990,58,33
IV/b,S1,2000,56,23
IV/b,S1,1986,58,37
IV/b,S1,1986,59,37
IV/b,S1,1983,61,40
IV/b,S1,1997,55,26
IV/b,S1,1986,58,37
IV/b,S1,1985,59,38
IV/b,S1,1988,59,35
IV/b,S1,1984,60,39
IV/b,S1,1988,57,35
IV/b,S1,1988,56,35
IV/b,S1,1988,57,35
IV/b,S1,1986,58,37
IV/b,S1,1989,56,34
IV/b,S1,1986,59,37
IV/b,S1,1988,61,35
IV/b,S1,1989,56,34
IV/b,S1,1988,59,35
IV/b,S1,1988,58,35
IV/b,S1,1983,59,40
IV/b,S1,1989,58,34
IV/b,S1,1993,56,30
IV/b,S1,1988,56,35
IV/b,S2,1994,56,29
IV/b,S1,1986,57,37
IV/b,S1,1991,58,32
IV/b,S1,1991,58,32
IV/b,S1,1992,57,31
IV/b,S1,1993,56,30
IV/b,S1,1983,59,40
IV/b,S1,1994,55,29
IV/b,S1,1994,56,29
IV/b,S2,1988,58,35
IV/b,S2,1994,55,29
IV/b,S1,1993,56,30
IV/b,S1,1992,57,31
IV/b,S1,1993,57,30
IV/b,S1,1994,56,29
IV/b,S2,1995,52,28
IV/b,S2,1994,59,29
IV/b,S2,1990,60,33
IV/b,S2,1992,55,31
IV/b,S2,1992,58,31
IV/b,S1,1993,60,30
IV/b,S1,1993,52,30
IV/b,S2,1989,57,34
IV/b,S2,1987,57,36
IV/b,S2,1988,58,35
IV/b,S2,1992,58,31
IV/b,S1,1988,55,35
IV/b,S1,1983,59,40
IV/b,S2,1995,60,28
IV/b,S2,1983,61,40
IV/b,S1,1991,60,32
IV/b,S1,1983,60,40
IV/b,S1,1983,59,40
IV/b,S1,1983,60,40
IV/b,S2,1984,59,39
IV/b,S1,1991,56,32
IV/b,S1,1983,60,40
IV/b,S1,1988,61,35
IV/b,S1,1988,55,35
IV/b,S1,1998,52,25
IV/b,S1,1998,53,25
IV/b,S1,1996,52,27
IV/b,S1,1988,57,35
IV/b,S1,1988,58,35
IV/b,S1,1993,57,30
IV/b,S1,1993,56,30
IV/b,S1,1990,59,33
IV/b,S1,1988,58,35
IV/b,S1,1995,59,28
IV/b,S1,1986,59,37
IV/b,S1,1987,60,36
IV/b,S2,1994,55,29
IV/b,S1,1991,57,32
IV/b,S1,1989,57,34
IV/b,S1,1985,60,38
IV/b,S1,1983,59,40
IV/b,S1,2006,51,17
IV/b,S2,1991,56,32
IV/a,S2,1998,51,25
IV/a,S2,1997,56,26
IV/a,S2,1992,54,31
IV/a,S2,2005,45,18
IV/a,S2,2007,47,16
IV/a,S1,2008,59,15
IV/a,S2,2003,47,20
IV/a,S2,1998,57,25
IV/a,D3,1987,58,36
IV/a,S1,1999,53,24
IV/a,S1,2008,53,15
IV/a,S1,1993,57,30
IV/a,S2,1988,57,35
IV/a,S2,1989,55,34
IV/a,S1,1998,56,25
IV/a,S2,1997,55,26
IV/a,S2,2005,41,18
IV/a,S2,2005,45,18
IV/a,S1,2011,42,12
IV/a,S1,2002,54,21
IV/a,S2,2006,48,17
IV/a,S2,2006,47,17
IV/a,S1,2009,54,14
IV/a,S1,2006,44,17
IV/a,S2,1996,47,27
IV/a,S2,1991,54,32
IV/a,S1,2006,55,17
IV/a,S1,2009,52,14
IV/a,S1,1992,53,31
IV/a,S1,2006,41,17
IV/a,S2,1997,52,26
IV/a,S1,2010,40,13
IV/a,S1,2010,41,13
IV/a,S1,2005,44,18
IV/a,S1,1993,57,30
IV/a,S1,1992,60,31
IV/a,S1,1994,56,29
IV/a,S1,1983,61,40
IV/a,S1,2005,54,18
IV/a,S1,2005,44,18
IV/a,D3,1989,57,34
IV/a,S1,1991,57,32
IV/a,S1,1994,55,29
IV/a,S1,1993,59,30
IV/a,S1,1998,59,25
IV/a,S1,2005,54,18
IV/a,S1,2006,58,17
IV/a,S1,1999,52,24
IV/a,S1,2005,57,18
IV/a,S1,1987,60,36
IV/a,S1,1998,58,25
IV/a,S2,2006,55,17
IV/a,S1,2006,44,17
IV/a,S1,1993,59,30
IV/a,S1,1994,58,29
IV/a,S1,1994,53,29
IV/a,S1,1991,56,32
IV/a,S1,1988,55,35
IV/a,S1,1983,60,40
IV/a,S2,2005,57,18
IV/a,S1,1987,60,36
IV/a,S1,1994,56,29
IV/a,S1,1988,58,35
IV/a,S1,1987,60,36
IV/a,S1,1986,59,37
IV/a,S2,2006,49,17
IV/a,S2,2009,49,14
IV/a,S1,1986,58,37
IV/a,S1,2000,57,23
IV/a,S2,2005,44,18
IV/a,S2,1995,50,28
IV/a,S2,2002,56,21
IV/a,S1,1987,55,36
IV/a,S1,2002,51,21
IV/d,S1,1995,52,28
IV/a,S1,2010,53,13
IV/a,S1,2007,53,16
IV/a,S1,2006,53,17
IV/a,S1,1993,59,30
IV/a,S1,1998,54,25
IV/a,S2,2007,53,16
IV/a,S1,1997,54,26
IV/a,S1,1993,49,30
IV/a,S2,1994,50,29
IV/a,S1,1994,58,29
IV/a,S2,1993,56,30
IV/a,S1,1997,50,26
IV/a,S1,1989,55,34
IV/a,S2,2002,51,21
IV/a,S2,2005,43,18
IV/a,S2,1994,58,29
IV/a,S1,1994,48,29
IV/a,S2,1986,59,37
IV/a,S2,1994,54,29
IV/a,S2,1997,46,26
IV/a,S1,2001,56,22
IV/a,S2,1994,48,29
IV/a,S2,2000,41,23
IV/a,S1,1995,60,28
IV/a,S1,1998,51,25
IV/a,S1,2005,49,18
IV/a,S1,1986,59,37
IV/a,S1,1988,57,35
IV/a,S1,2006,43,17
IV/a,S1,2006,51,17
IV/a,S1,2006,47,17
IV/a,S2,2005,48,18
IV/a,S1,2006,49,17
IV/a,S1,2006,50,17
IV/a,S1,1992,59,31
IV/a,S2,1993,58,30
IV/a,S2,1992,58,31
IV/a,S1,1998,56,25
IV/a,S1,1994,54,29
IV/a,S1,1984,59,39
IV/a,S1,1983,60,40
IV/a,S1,1995,58,28
IV/a,S1,1984,58,39
IV/a,S1,1991,60,32
IV/a,S1,1987,59,36
IV/a,S2,1986,59,37
IV/a,S1,1984,60,39
IV/a,S1,2007,55,16
IV/a,S1,1998,55,25
IV/a,S1,1994,56,29
IV/a,S1,1994,56,29
IV/a,S2,2008,50,15
IV/a,S1,1993,57,30
IV/a,S1,1998,50,25
IV/a,S2,2006,44,17
IV/a,S1,1982,60,41
IV/a,S1,2000,56,23
IV/a,S1,1984,60,39
IV/a,S1,1993,58,30
IV/a,S1,1997,54,26
IV/a,S2,1988,57,35
IV/a,S1,1995,60,28
IV/a,S1,1997,55,26
IV/a,S2,1998,52,25
IV/a,S2,2006,45,17
IV/a,S1,2008,45,15
IV/a,S2,1983,60,40
IV/a,S1,1997,53,26
IV/a,S1,2005,48,18
IV/a,S1,1991,58,32
IV/a,S2,1995,56,28
IV/a,S2,2006,57,17
IV/a,S2,1997,52,26
IV/a,S2,2005,43,18
IV/a,S2,1994,58,29
IV/a,S2,1994,49,29
IV/a,S2,1996,52,27
IV/a,S2,2008,45,15
IV/a,S2,1996,53,27
IV/a,S1,1994,58,29
IV/a,S1,2000,54,23
IV/a,S1,1996,53,27
IV/a,S1,1994,55,29
IV/a,S1,1994,58,29
IV/a,S1,1992,58,31
IV/a,S2,1993,50,30
IV/a,S2,1995,56,28
IV/a,S2,2008,45,15
IV/a,S2,1994,57,29
IV/a,S1,1997,51,26
IV/a,S1,1995,57,28
IV/a,S2,1991,51,32
IV/a,S2,1989,57,34
IV/a,S1,1993,58,30
IV/a,S1,1997,50,26
IV/a,S2,2006,52,17
IV/a,S2,1993,57,30
IV/a,S2,1994,58,29
IV/a,S2,1994,51,29
IV/a,S2,1997,46,26
IV/a,S2,1994,56,29
IV/a,S2,1999,50,24
IV/a,S2,1990,53,33
IV/a,S2,2005,49,18
IV/a,S2,1989,53,34
IV/a,S2,1997,50,26
IV/a,S2,1994,58,29
IV/a,S2,1998,55,25
IV/a,S2,1994,52,29
IV/a,S2,1988,56,35
IV/a,S2,1996,54,27
IV/a,S2,1989,55,34
IV/a,S2,1994,49,29
IV/a,S2,1991,55,32
IV/a,S2,2005,45,18
IV/a,S2,1997,49,26
IV/a,S1,1985,60,38
IV/a,S1,1989,56,34
IV/a,S1,1985,60,38
IV/a,S1,1994,59,29
IV/a,S1,1987,58,36
IV/a,S1,1989,57,34
IV/a,S1,1993,53,30
IV/a,S1,1987,57,36
IV/a,D3,1984,60,39
IV/a,S1,1993,57,30
IV/a,S1,1993,53,30
IV/a,S1,1993,56,30
IV/a,S1,1999,52,24
IV/a,S1,2007,51,16
IV/a,S1,1988,56,35
IV/a,S1,1999,46,24
IV/a,S1,1983,60,40
IV/a,S1,2005,54,18
IV/a,S1,1992,59,31
IV/a,S2,1991,52,32
IV/a,S1,1991,55,32
IV/a,S1,1993,50,30
IV/a,S1,1993,52,30
IV/a,S1,1987,61,36
III/d,S1,1989,55,34
III/d,D3,1988,57,35
III/d,D3,2005,41,18
III/d,S1,1998,49,25
III/d,D3,1989,55,34
III/d,S1,2006,54,17
III/d,S1,1996,47,27
III/d,S1,1986,58,37
III/d,S1,1989,56,34
III/d,S2,1997,45,26
III/d,S1,1998,49,25
III/d,S1,1993,54,30
III/d,S1,1995,57,28
III/d,S1,2007,55,16
III/d,S1,2007,54,16
III/d,S1,2005,58,18
III/d,S1,2007,54,16
III/d,S1,2007,52,16
III/d,S1,2007,54,16
III/d,S1,2007,53,16
III/d,S1,1993,56,30
III/d,S2,2006,47,17
III/d,S1,2006,49,17
III/d,S1,2009,49,14
III/d,S1,2006,46,17
III/d,S1,2006,46,17
III/d,S2,2010,41,13
III/d,S1,2009,45,14
III/d,S1,2005,50,18
III/d,S1,2009,41,14
III/d,S2,2005,57,18
III/d,S1,2009,37,14
III/d,S2,1993,49,30
III/d,S1,1993,55,30
III/d,D3,1993,55,30
III/d,S1,2009,42,14
III/d,S2,2007,54,16
III/d,S1,2005,47,18
III/d,S2,2006,49,17
III/d,S2,1992,51,31
III/d,S1,2006,50,17
III/d,S2,2010,36,13
III/d,S1,2010,43,13
III/d,S1,1996,56,27
III/d,S1,1990,53,33
III/d,S1,1988,58,35
III/d,S1,1998,47,25
III/d,S1,1996,55,27
III/d,S1,1991,59,32
III/d,S1,1993,57,30
III/d,S1,2005,43,18
III/d,S1,2011,38,12
III/d,S1,1992,57,31
III/d,S1,1985,58,38
III/d,S1,2009,41,14
III/d,S1,1997,47,26
III/d,S2,2010,44,13
III/d,S1,2003,51,20
III/d,S1,1988,58,35
III/d,S1,2009,41,14
III/d,S2,2010,40,13
III/d,S1,2009,42,14
III/d,S1,1992,51,31
III/d,S1,2005,45,18
III/d,S1,1987,58,36
III/d,S1,1994,59,29
III/d,S1,1994,56,29
III/d,S1,1994,58,29
III/d,S1,1998,54,25
III/d,S1,2005,51,18
III/d,S1,2005,47,18
III/d,S1,2006,43,17
III/d,S2,2009,39,14
III/d,S1,1990,58,33
III/d,S1,1989,56,34
III/d,S1,1998,54,25
III/d,S1,1994,56,29
III/d,S1,2006,50,17
III/d,S1,2005,49,18
III/d,S1,2009,41,14
III/d,S2,2010,42,13
III/d,S1,2005,41,18
III/d,S2,2009,43,14
III/d,S2,2009,42,14
III/d,S2,1991,56,32
III/d,S1,2010,48,13
III/d,S1,1993,52,30
III/d,S1,1995,50,28
III/d,S1,1992,58,31
III/d,S1,2006,49,17
III/d,S1,1996,58,27
III/d,S1,1994,59,29
III/d,S1,1989,56,34
III/d,S1,1989,58,34
III/d,S1,1989,54,34
III/d,S1,1991,57,32
III/d,S1,1989,55,34
III/d,S1,1996,48,27
III/d,S1,1989,58,34
III/d,S1,1994,48,29
III/d,S2,1998,51,25
III/d,S1,1989,58,34
III/d,S1,1995,55,28
III/d,S1,1989,58,34
III/d,S1,1986,57,37
III/d,S1,1990,57,33
III/d,S1,1996,58,27
III/d,S1,2006,51,17
III/d,S1,1997,50,26
III/d,S1,1994,51,29
III/d,S1,1993,55,30
III/d,S1,1997,51,26
III/d,S1,1999,48,24
III/d,S1,1992,53,31
III/d,S1,1991,58,32
III/d,S1,1988,56,35
III/d,S1,2010,39,13
III/d,S1,1988,57,35
III/d,S1,1996,56,27
III/d,S1,1998,50,25
III/d,S1,1996,46,27
III/d,S1,1994,58,29
III/d,S1,1988,55,35
III/d,S1,1990,53,33
III/d,S1,1990,56,33
III/d,S1,1988,58,35
III/d,S1,1999,48,24
III/d,S1,1994,50,29
III/d,S1,1993,56,30
III/d,S1,1993,57,30
III/d,S1,1992,58,31
III/d,S1,1996,54,27
III/d,S1,1996,58,27
III/d,S1,1993,52,30
III/d,S1,1991,53,32
III/d,S1,2006,46,17
III/d,S1,1993,57,30
III/d,S1,2009,38,14
III/d,S2,2011,41,12
III/d,S1,2010,38,13
III/d,S2,2011,42,12
III/d,S1,1997,51,26
III/d,S2,2010,42,13
III/d,S1,1994,56,29
III/d,S1,2009,48,14
III/d,S1,2000,41,23
III/d,S1,1999,43,24
III/d,S1,1997,53,26
III/d,S1,2006,50,17
III/d,S1,2008,48,15
III/d,S1,1993,57,30
III/d,S1,1997,57,26
III/d,S1,2009,39,14
III/d,S1,2006,47,17
III/d,S1,2009,45,14
III/d,S1,2005,50,18
III/d,S1,2000,51,23
III/d,S1,1989,57,34
III/d,S1,1992,57,31
III/d,S1,1992,51,31
III/d,S1,1996,57,27
III/d,S1,1999,54,24
III/d,S2,1997,57,26
III/d,S1,2000,55,23
III/d,S1,1997,54,26
III/d,S1,1997,52,26
III/d,S1,1986,57,37
III/d,S1,1991,55,32
III/d,S1,2006,50,17
III/d,S2,2006,42,17
III/d,S1,1992,52,31
III/d,S1,2007,53,16
III/d,S1,2005,54,18
III/d,S1,1986,57,37
III/d,S1,1991,55,32
III/d,S2,2005,54,18
III/d,S1,2006,48,17
III/d,S1,2005,53,18
III/d,S1,2007,51,16
III/d,S1,2009,53,14
III/d,S2,1989,56,34
III/d,S1,1995,59,28
III/d,S1,2006,48,17
III/d,S1,2009,54,14
III/d,S1,2008,53,15
III/d,S1,1996,56,27
III/d,S2,2002,46,21
III/d,S1,1986,58,37
III/d,S1,1994,57,29
III/d,S1,1994,58,29
III/d,S1,2005,55,18
III/d,S1,1994,55,29
III/d,S1,1985,57,38
III/d,S1,1998,51,25
III/d,S1,1991,58,32
III/d,S1,1990,55,33
III/d,S1,1989,54,34
III/d,S1,1996,47,27
III/d,S1,1986,58,37
III/d,S1,1999,56,24
III/d,S1,1988,58,35
III/d,S1,1991,56,32
III/d,S1,1986,58,37
III/d,S1,1989,54,34
III/d,S1,1995,52,28
III/d,S2,2006,49,17
III/d,S1,1994,50,29
III/d,S2,2010,47,13
III/d,S2,2008,45,15
III/d,S2,2006,47,17
III/d,S2,2008,44,15
III/d,S2,1999,44,24
III/d,S2,1992,51,31
III/d,S2,1999,43,24
III/d,S2,2005,45,18
III/d,S1,1989,53,34
III/d,S1,1996,53,27
III/d,S1,2005,44,18
III/d,S1,1994,54,29
III/d,S1,1993,57,30
III/d,S1,2010,39,13
III/d,S1,2005,55,18
III/d,S1,2009,49,14
III/d,S1,2010,38,13
III/d,S2,1996,55,27
III/d,S1,2011,38,12
III/d,S1,1994,56,29
III/d,S1,1993,53,30
III/d,S1,1993,58,30
III/d,S1,2014,49,9
III/d,S1,1994,58,29
III/d,S2,2008,49,15
III/d,S1,2007,53,16
III/d,S1,2006,53,17
III/d,S1,2007,55,16
III/d,S1,2006,51,17
III/d,S1,2000,53,23
III/d,S1,2005,53,18
III/d,S1,2008,54,15
III/d,S1,2005,56,18
III/d,S1,2008,54,15
III/d,S1,2008,55,15
III/d,S2,2006,44,17
III/d,S1,2010,42,13
III/d,S1,2007,54,16
III/d,S1,2006,56,17
III/d,S1,2005,47,18
III/d,S1,1994,54,29
III/d,S1,2006,42,17
III/d,S1,2008,52,15
III/d,S1,2000,55,23
III/d,S1,2009,43,14
III/d,S1,2007,52,16
III/d,S1,2006,56,17
III/d,S1,2006,56,17
III/d,S1,1986,58,37
III/d,S1,1999,51,24
III/d,S1,1991,56,32
III/d,S1,1989,56,34
III/d,S1,1988,57,35
III/d,S1,1994,55,29
III/d,S1,1992,55,31
III/d,S1,1993,53,30
III/d,S2,2008,40,15
III/d,S1,1987,58,36
III/d,S1,1999,49,24
III/d,S1,2010,42,13
III/d,S2,2009,43,14
III/c,S1,1998,54,25
III/d,S1,2009,43,14
III/d,S1,1995,57,28
III/d,S1,2010,42,13
III/d,S2,2009,44,14
III/d,S2,2010,39,13
III/d,S1,2011,40,12
III/d,S1,2008,45,15
III/d,S2,2009,44,14
III/d,S1,2006,51,17
III/d,S1,1999,51,24
III/d,S1,2015,34,8
III/c,D3,2009,40,14
III/c,D3,2007,48,16
III/c,D3,2006,43,17
III/c,D3,2006,46,17
III/c,S1,2014,45,9
III/c,S1,2014,48,9
III/c,S1,2014,49,9
III/c,S1,2008,54,15
III/c,S1,2011,37,12
III/c,S1,2014,53,9
III/c,S1,2014,57,9
III/c,S1,2014,59,9
III/c,S1,2011,40,12
III/c,S1,2014,49,9
III/c,S1,2011,43,12
III/c,S1,1988,55,35
III/c,S1,2006,42,17
III/c,S1,2006,44,17
III/c,S1,2011,37,12
III/c,S1,2011,44,12
III/c,S1,1998,55,25
III/c,S1,2011,47,12
III/c,S1,2006,40,17
III/c,S2,2010,42,13
III/c,S1,2006,51,17
III/c,S2,2010,38,13
III/c,S1,2010,43,13
III/c,S2,2005,42,18
III/c,S1,2011,41,12
III/c,S1,2005,42,18
III/c,S1,1998,58,25
III/c,S1,2012,50,11
III/c,S1,1998,55,25
III/c,S1,1998,45,25
III/c,S1,2014,48,9
III/c,S2,2014,43,9
III/c,S1,2014,45,9
III/c,S1,2014,45,9
III/c,S2,2014,52,9
III/c,S2,2014,46,9
III/c,S1,2010,43,13
III/c,S1,2010,44,13
III/c,S1,2014,45,9
III/c,S1,2010,48,13
III/c,S2,2005,38,18
III/c,S1,2008,45,15
III/c,S1,2008,45,15
III/c,S1,2005,45,18
III/c,S1,2006,44,17
III/c,S1,2005,44,18
III/c,S1,2006,45,17
III/c,S1,2006,41,17
III/c,S1,1993,51,30
III/c,S1,2012,49,11
III/c,S1,1998,54,25
III/c,S1,2014,42,9
III/c,S1,2008,53,15
III/c,S1,2005,53,18
III/c,S1,2007,59,16
III/c,S1,1998,57,25
III/c,S1,1996,54,27
III/c,S1,2011,39,12
III/c,S1,2014,48,9
III/c,S1,2010,38,13
III/c,S1,2011,37,12
III/c,S2,2014,43,9
III/c,S1,2014,59,9
III/c,S1,2007,60,16
III/c,S1,2008,56,15
III/c,S1,2008,54,15
III/c,S2,2011,42,12
III/c,S2,2006,37,17
III/c,S2,2005,41,18
III/c,S1,2000,51,23
III/c,S2,2009,46,14
III/c,S2,2006,44,17
III/c,S2,1999,46,24
III/c,S2,2006,39,17
III/c,S2,2005,42,18
III/c,S2,2005,41,18
III/c,S2,1997,46,26
III/c,S1,2012,32,11
III/c,S2,2008,40,15
III/c,S1,1995,51,28
III/c,D3,2006,48,17
III/c,D3,1998,49,25
III/c,D3,2006,45,17
III/c,D3,2007,42,16
III/c,S1,2006,44,17
III/c,S1,2005,46,18
III/c,D3,2006,49,17
III/c,D3,1998,49,25
III/c,D3,1992,55,31
III/c,S1,2006,38,17
III/c,S2,2005,41,18
III/c,S1,1998,48,25
III/c,S1,2010,38,13
III/c,S1,2007,53,16
III/c,S1,2008,54,15
III/c,S1,2008,53,15
III/c,S1,2010,41,13
III/c,S1,2010,34,13
III/c,S1,2009,46,14
III/c,S1,2011,37,12
III/c,S1,2010,37,13
III/c,S1,2010,37,13
III/c,S1,2009,47,14
III/c,S1,2010,40,13
III/c,S1,2010,37,13
III/c,S1,2008,54,15
III/c,S1,2009,36,14
III/c,S1,2009,37,14
III/c,S1,2009,36,14
III/c,S1,2010,39,13
III/c,S1,2009,36,14
III/c,S1,2010,36,13
III/c,S1,2009,37,14
III/c,S1,2006,57,17
III/c,S1,2009,36,14
III/c,S1,2009,36,14
III/c,S1,2009,35,14
III/c,S1,2009,37,14
III/c,S1,2011,37,12
III/c,S1,2009,37,14
III/c,S1,2009,35,14
III/c,S1,2009,34,14
III/c,S1,2008,54,15
III/c,S1,2009,38,14
III/c,S1,2010,37,13
III/c,S1,2014,45,9
III/c,S1,2014,43,9
III/c,S1,2008,54,15
III/c,S1,2009,47,14
III/c,S1,2007,53,16
III/c,S1,2005,57,18
III/c,S1,2006,57,17
III/c,S1,2009,40,14
III/c,S1,2009,39,14
III/c,S2,2009,35,14
III/c,S1,2009,37,14
III/c,S1,2009,36,14
III/c,S1,2010,44,13
III/c,S1,2009,43,14
III/c,S1,2009,35,14
III/c,S1,2009,38,14
III/c,S1,2010,41,13
III/c,S1,2010,38,13
III/c,S1,2009,51,14
III/c,S1,2009,35,14
III/c,S1,2008,45,15
III/c,S1,2005,43,18
III/c,S1,2009,45,14
III/c,S1,2011,36,12
III/c,S1,2006,53,17
III/c,S1,2011,35,12
III/c,S1,2006,49,17
III/c,S2,2006,49,17
III/c,S1,2005,49,18
III/c,D3,2006,51,17
III/c,S1,2006,54,17
III/c,S1,2014,43,9
III/c,S1,2014,52,9
III/c,S2,2006,43,17
III/c,S1,2007,54,16
III/c,S1,2009,42,14
III/c,S1,2011,40,12
III/c,S1,2006,43,17
III/c,S1,2005,41,18
III/c,S1,2010,36,13
III/c,S1,2009,37,14
III/c,S1,2009,45,14
III/c,S2,2014,42,9
III/c,S1,1998,46,25
III/c,S1,2008,57,15
III/c,S1,2014,49,9
III/c,S1,2014,45,9
III/d,S2,2006,40,17
III/c,S1,2014,52,9
III/c,S1,2014,56,9
III/c,S1,2014,47,9
III/c,S1,2014,50,9
III/c,S1,2009,35,14
III/c,S1,2011,35,12
III/c,S1,2009,36,14
III/c,S1,2010,38,13
III/c,S1,2009,38,14
III/c,S1,2009,36,14
III/c,S1,2009,35,14
III/c,S1,2006,38,17
III/c,S1,2005,56,18
III/c,S2,2011,34,12
III/c,S1,2007,54,16
III/c,S1,2009,35,14
III/c,S1,2008,54,15
III/c,S1,2006,56,17
III/c,S1,2005,54,18
III/c,S1,2009,39,14
III/c,S1,2011,36,12
III/c,S1,2007,59,16
III/c,S1,2006,51,17
III/c,S1,2008,54,15
III/c,S1,2008,56,15
III/c,S2,2006,47,17
III/c,S1,2009,42,14
III/c,S1,2014,56,9
III/c,S1,2008,56,15
III/c,S1,2008,58,15
III/c,S1,2008,56,15
III/c,S1,2008,58,15
III/c,S1,2008,51,15
III/c,S1,2008,56,15
III/c,S1,2007,60,16
III/c,S2,2007,60,16
III/c,S1,2007,58,16
III/c,S1,2008,58,15
III/c,S1,2010,45,13
III/c,S1,2009,41,14
III/c,S1,2008,53,15
III/c,S1,2008,52,15
III/c,S1,2014,49,9
III/c,S1,2014,54,9
III/c,S1,2014,55,9
III/c,S1,2007,59,16
III/c,S1,2011,42,12
III/c,S1,2010,40,13
III/c,S1,2011,45,12
III/c,S1,2008,53,15
III/c,S1,2010,39,13
III/c,S1,2010,40,13
III/c,S1,2005,46,18
III/c,S1,2009,40,14
III/c,S1,2014,44,9
III/c,S1,2007,55,16
III/c,S1,2010,38,13
III/c,S1,2015,36,8
III/b,S1,2014,41,9
III/b,D3,2006,40,17
III/b,S2,2009,46,14
III/b,S2,2005,42,18
III/c,S1,2010,38,13
III/b,S2,2015,30,8
III/b,S1,2014,53,9
III/b,S1,2014,45,9
III/b,D3,2010,37,13
III/b,D3,2010,41,13
III/b,D3,2010,38,13
III/b,S1,2015,29,8
III/b,S1,2014,44,9
III/b,S1,2014,59,9
III/b,S1,2014,46,9
III/b,S1,2008,47,15
III/b,S1,2008,41,15
III/b,S1,2007,48,16
III/b,S1,2008,50,15
III/b,S1,2008,43,15
III/b,S1,2006,53,17
III/b,S1,2007,53,16
III/b,S1,2007,51,16
III/b,S1,2007,55,16
III/b,S1,2007,55,16
III/b,S1,2009,49,14
III/b,S1,2008,47,15
III/b,S1,2006,56,17
III/b,D3,2010,39,13
III/b,S1,2009,42,14
III/b,S1,2006,52,17
III/b,S1,2007,49,16
III/b,S2,2010,36,13
III/b,D3,2008,43,15
III/b,D3,2005,44,18
III/b,S1,2017,28,6
III/b,S1,2017,28,6
III/b,D3,2009,36,14
III/b,S1,2019,40,4
III/b,S1,2019,35,4
III/b,S1,2019,35,4
III/b,S1,2019,32,4
III/b,S1,2019,31,4
III/b,S1,2019,33,4
III/b,S1,2019,36,4
III/b,S1,2019,27,4
III/b,S1,2019,28,4
III/b,S1,2019,32,4
III/b,S1,2019,35,4
III/b,S1,2019,37,4
III/b,S1,2019,39,4
III/b,S1,2019,32,4
III/b,S1,2019,33,4
III/b,S1,2019,31,4
III/b,S1,2019,32,4
III/b,S1,2019,31,4
III/b,S1,2019,32,4
III/b,S1,2019,30,4
III/b,S1,2019,29,4
III/b,S1,2019,36,4
III/b,S1,2019,33,4
III/b,S1,2019,30,4
III/b,S1,2019,31,4
III/b,S1,2019,32,4
III/b,S1,2019,38,4
III/b,D3,2011,33,12
III/b,S1,2011,35,12
III/b,S1,2020,37,3
III/b,S1,2020,31,3
III/b,S1,2020,26,3
III/b,S1,2020,35,3
III/b,S1,2020,29,3
III/b,S1,2020,29,3
III/b,S1,2020,32,3
III/b,S1,2020,37,3
III/b,S1,2020,36,3
III/b,S1,2020,32,3
III/b,S1,2020,32,3
III/b,S1,2020,30,3
III/b,S1,2020,31,3
III/b,S1,2020,28,3
III/b,S1,2020,32,3
III/b,D3,2006,44,17
III/b,D3,2006,49,17
III/b,D3,2006,49,17
III/b,S1,2010,48,13
III/b,D3,2009,46,14
III/b,D3,2011,35,12
III/b,D3,2005,48,18
III/b,S1,2009,36,14
III/b,S1,2009,36,14
III/b,S1,2010,42,13
III/b,D3,2010,38,13
III/b,S1,2010,40,13
III/b,D3,2010,42,13
III/b,D3,2010,46,13
III/b,S1,2011,45,12
III/b,D3,2010,46,13
III/b,D3,2010,37,13
III/b,D3,2009,38,14
III/b,D3,2010,38,13
III/b,S1,2014,41,9
III/b,S1,2014,44,9
III/b,S1,2014,45,9
III/b,S1,2014,48,9
III/b,S1,2014,43,9
III/b,S1,2014,60,9
III/b,S1,1999,43,24
III/b,S1,2014,48,9
III/b,D3,2010,38,13
III/b,D3,2010,36,13
III/b,S1,2009,37,14
III/b,D3,2010,48,13
III/b,S1,2014,47,9
III/b,S1,2010,46,13
III/b,S1,2010,40,13
III/b,S1,2011,35,12
III/b,S1,2010,48,13
III/b,S1,2011,36,12
III/b,S1,2010,44,13
III/b,S1,2010,41,13
III/b,S1,2010,39,13
III/b,S1,2010,39,13
III/b,S1,2010,35,13
III/b,S1,2006,57,17
III/b,S1,2010,36,13
III/b,S2,2010,37,13
III/b,S1,2010,36,13
III/b,S2,2005,42,18
III/b,S1,2011,41,12
III/b,S1,2006,53,17
III/b,S1,2007,46,16
III/b,S1,2007,47,16
III/b,S1,2006,59,17
III/b,S1,2007,44,16
III/b,S1,1991,56,32
III/b,S1,2010,36,13
III/b,S1,2007,45,16
III/b,S1,2007,51,16
III/b,S1,1990,58,33
III/b,S1,2005,38,18
III/b,S1,2014,44,9
III/b,S1,2014,48,9
III/b,S1,2014,43,9
III/b,S1,1998,50,25
III/b,S1,1999,50,24
III/b,S1,2006,56,17
III/b,S1,2009,46,14
